district,price,GrossSquareMeters,NumberFloorsofBuilding,ItemStatus,NumberOfBathrooms,NumberOfRooms,FloorLocation
1,0.23869346733668342,0.1886195995785037,3,0,3,8,24
1,0.1457286432160804,0.17597471022128555,1,0,1,5,45
1,0.17587939698492464,0.10432033719704951,7,0,1,3,34
1,0.0992462311557789,0.09905163329820864,5,0,1,3,40
1,0.10804020100502512,0.09905163329820864,5,0,1,3,50
1,0.7487437185929647,0.7418335089567966,3,0,2,11,47
1,0.2198492462311558,0.09905163329820864,12,0,1,3,2
1,0.20854271356783918,0.12539515279241306,5,0,1,3,12
1,0.33417085427135673,0.2476290832455216,5,0,2,11,32
1,0.14195979899497488,0.11485774499473128,5,0,1,3,0
1,0.18341708542713567,0.12012644889357217,5,0,1,5,0
2,0.3969849246231155,0.13593256059009484,5,0,1,5,24
2,0.15075376884422112,0.05690200210748155,5,0,1,1,40
2,0.3090452261306532,0.1517386722866175,3,0,1,5,12
2,0.2399497487437186,0.08851422550052686,4,0,1,3,0
2,0.44723618090452255,0.12539515279241306,10,0,1,5,0
2,0.685929648241206,0.12539515279241306,13,0,2,5,5
2,0.44723618090452255,0.05690200210748155,30,1,1,0,12
2,0.18341708542713567,0.09905163329820864,5,0,1,3,24
2,0.4346733668341708,0.09378292939936775,11,0,1,3,2
2,0.2185929648241206,0.11485774499473128,10,0,1,3,35
2,0.157035175879397,0.08851422550052686,4,0,1,1,40
2,0.35929648241206025,0.14646996838777662,7,0,2,4,32
2,0.35929648241206025,0.06743940990516333,4,0,1,1,50
2,0.321608040201005,0.1095890410958904,2,0,1,3,12
2,0.7613065326633165,0.14120126448893572,15,0,0,5,6
2,0.12060301507537688,0.12539515279241306,9,0,1,5,32
2,0.29648241206030146,0.12012644889357217,18,0,1,5,5
2,0.7613065326633165,0.14646996838777662,8,0,1,5,32
2,0.15050251256281408,0.09378292939936775,3,0,1,3,40
2,0.15201005025125627,0.08851422550052686,4,0,1,3,41
2,0.35301507537688437,0.13593256059009484,5,0,1,5,0
2,0.22110552763819094,0.08324552160168598,3,0,1,3,0
2,0.35929648241206025,0.14646996838777662,4,0,2,4,51
2,0.5728643216080401,0.12539515279241306,6,0,1,5,24
2,0.1658291457286432,0.09378292939936775,3,0,1,3,40
2,0.30276381909547734,0.1517386722866175,3,0,2,5,24
2,0.3153266331658291,0.12012644889357217,3,0,1,5,50
2,0.31407035175879394,0.13593256059009484,7,0,1,5,32
2,0.18341708542713567,0.12012644889357217,4,0,2,5,50
2,0.6482412060301507,0.10432033719704951,12,0,1,3,0
2,0.4972361809045226,0.11485774499473128,5,0,2,5,50
2,0.4346733668341708,0.10432033719704951,12,0,1,3,2
2,0.12060301507537688,0.12539515279241306,9,0,1,3,37
2,0.736180904522613,0.5258166491043204,5,0,1,3,34
2,0.2185929648241206,0.09378292939936775,6,0,1,3,12
2,0.12562814070351758,0.07270811380400422,4,0,1,1,42
2,0.1871859296482412,0.09378292939936775,5,0,1,3,41
2,0.3015075376884422,0.11485774499473128,7,0,1,3,40
